"data_id","age","comprehension","production","language","form","birth_order","ethnicity","sex","zygosity","norming","mom_ed","longitudinal","source_name","license","is_first"
129435,22,44,44,"English (American)","WS","Second","White","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129436,20,296,296,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Some Graduate",FALSE,"Marchman (Norming)","CC-BY",FALSE
129437,26,183,183,"English (American)","WS","Third","White","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129438,30,451,451,"English (American)","WS","Second","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129439,22,385,385,"English (American)","WS","Second","Other","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129440,23,169,169,"English (American)","WS","Fourth","White","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129441,25,551,551,"English (American)","WS","Third","Black","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129442,22,49,49,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129443,27,262,262,"English (American)","WS","Fifth","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129444,18,23,23,"English (American)","WS","Third","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129445,20,4,4,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129446,18,99,99,"English (American)","WS","Third","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129447,20,104,104,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129448,23,259,259,"English (American)","WS","Third","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129449,26,131,131,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129450,27,503,503,"English (American)","WS","Fourth","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129451,27,522,522,"English (American)","WS","First","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129452,26,547,547,"English (American)","WS","Fourth","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129453,21,476,476,"English (American)","WS","Third","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129454,28,451,451,"English (American)","WS","First","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129455,26,47,47,"English (American)","WS","Third","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129456,26,570,570,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129457,29,75,75,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129458,25,541,541,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129459,30,603,603,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129460,25,139,139,"English (American)","WS","First","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129461,27,215,215,"English (American)","WS","First","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129462,27,677,677,"English (American)","WS","First","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129463,25,23,23,"English (American)","WS","Third","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129464,28,414,414,"English (American)","WS","Third","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129465,27,134,134,"English (American)","WS","Fourth","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129466,25,163,163,"English (American)","WS","Third","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129467,25,479,479,"English (American)","WS","First","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129468,27,366,366,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129469,28,433,433,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129470,27,29,29,"English (American)","WS","Fourth","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129471,27,424,424,"English (American)","WS","First","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129472,27,295,295,"English (American)","WS","Third","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129473,30,324,324,"English (American)","WS","Second","Black","Female",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129474,19,60,60,"English (American)","WS","Fourth","Black","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129475,25,45,45,"English (American)","WS","Fourth","Other","Male",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129476,25,38,38,"English (American)","WS","First","Black","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129477,27,307,307,"English (American)","WS","Second","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129478,24,172,172,"English (American)","WS","First","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129479,21,554,554,"English (American)","WS","First","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129480,19,580,580,"English (American)","WS","First","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129481,28,106,106,"English (American)","WS","First","Black","Male",NA,TRUE,"Primary",FALSE,"Marchman (Norming)","CC-BY",TRUE
129482,22,327,327,"English (American)","WS","Third","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129483,16,83,83,"English (American)","WS","First","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",TRUE
129484,27,374,374,"English (American)","WS","Third","Black","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129485,21,152,152,"English (American)","WS","Third","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129486,30,357,357,"English (American)","WS","Third","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
